provision_id,van_ban,doc_code,chuong,dieu,tieu_de_dieu,khoan,diem,noi_dung,hieu_luc,ngay_hieu_luc,ngay_het_hieu_luc,thay_the_boi,thay_the_cho,van_ban_sua_doi,ghi_chu
10_2012_QH13__D1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,1,Phạm vi điều chỉnh,,,"Điều 1. Phạm vi điều chỉnh
Bộ luật lao động quy định tiêu chuẩn lao động; quyền, nghĩa vụ, trách nhiệm
của người lao động, người sử dụng lao động, tổ chức đại diện tập thể lao động, tổ
chức đại diện người sử dụng lao động trong quan hệ lao động và các quan hệ khác
liên quan trực tiếp đến quan hệ lao động; quản lý nhà nước về lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D2__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,2,Đối tượng áp dụng,1,,"Điều 2. Đối tượng áp dụng
1. Người lao động Việt Nam, người học nghề, tập nghề và người lao động
khác được quy định tại Bộ luật này.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D2__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,2,Đối tượng áp dụng,2,,"Điều 2. Đối tượng áp dụng
2. Người sử dụng lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D2__K3,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,2,Đối tượng áp dụng,3,,"Điều 2. Đối tượng áp dụng
3. Người lao động nước ngoài làm việc tại Việt Nam.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D2__K4,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,2,Đối tượng áp dụng,4,,"Điều 2. Đối tượng áp dụng
4. Cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D3__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,3,Giải thích từ ngữ,1,,"Điều 3. Giải thích từ ngữ
1. Người lao động là người từ đủ 15 tuổi trở lên, có khả năng lao động, làm việc
theo hợp đồng lao động, được trả lương và chịu sự quản lý, điều hành của người sử
dụng lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D3__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,3,Giải thích từ ngữ,2,,"Điều 3. Giải thích từ ngữ
2. Người sử dụng lao động là doanh nghiệp, cơ quan, tổ chức, hợp tác xã, hộ
gia đình, cá nhân có thuê mướn, sử dụng lao động theo hợp đồng lao động; nếu là
cá nhân thì phải có năng lực hành vi dân sự đầy đủ.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D3__K3,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,3,Giải thích từ ngữ,3,,"Điều 3. Giải thích từ ngữ
3. Tập thể lao động là tập hợp có tổ chức của người lao động cùng làm việc
cho một người sử dụng lao động hoặc trong một bộ phận thuộc cơ cấu tổ chức của
người sử dụng lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D3__K4,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,3,Giải thích từ ngữ,4,,"Điều 3. Giải thích từ ngữ
4. Tổ chức đại diện tập thể lao động tại cơ sở là Ban chấp hành công đoàn cơ
sở hoặc Ban chấp hành công đoàn cấp trên trực tiếp cơ sở ở nơi chưa thành lập công
đoàn cơ sở.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D3__K5,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,3,Giải thích từ ngữ,5,,"Điều 3. Giải thích từ ngữ
5. Tổ chức đại diện người sử dụng lao động là tổ chức được thành lập hợp
pháp, đại diện và bảo vệ quyền, lợi ích hợp pháp của người sử dụng lao động trong
quan hệ lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
